b,g,e,iter,time.taken
-1,0,-0.5,1,397340
-1,0,-0.5,1,400110
-1,0,-0.5,1,439382
-1,0,-0.5,2,371477
-1,0,-0.5,2,475671
-1,0,-0.5,2,406126
-1,0,-0.5,2,387468
-1,0,-0.5,3,132996
-1,0,-0.5,3,478284
-1,0,-0.5,3,406702
-1,0,-0.5,3,377424
-1,0,-0.5,34,370926
-1,0,-0.5,35,123011
-1,0,-0.5,4,395843
-1,0,-0.5,4,225215
-1,0,-0.5,4,503017
-1,0,0,1,620693
-1,0,0,2,384231
-1,0,0,2,414017
-1,0,0,2,2014915
-1,0,0,2,394956
-1,0,0,3,1774981
-1,0,0,3,117058
-1,0,0,3,378458
-1,0,0,34,364411
-1,0,0,4,359447
-1,0,0,4,681616
-1,0,0,4,332911
-1,0,0,4,184437
-1,0,0,4,404196
-1,0,0,5,364584
-1,0,0,5,403202
-1,0,0,5,463702
-1,0,0,5,365941
-1,0,0,5,336745
-1,0,0,5,431598
-1,0,0.5,1,365128
-1,0,0.5,10,100473
-1,0,0.5,11,104060
-1,0,0.5,12,100804
-1,0,0.5,13,104310
-1,0,0.5,14,110385
-1,0,0.5,15,108309
-1,0,0.5,16,105686
-1,0,0.5,17,101000
-1,0,0.5,18,109038
-1,0,0.5,19,100865
-1,0,0.5,2,267126
-1,0,0.5,20,101797
-1,0,0.5,21,99346
-1,0,0.5,22,111826
-1,0,0.5,23,105926
-1,0,0.5,24,112095
-1,0,0.5,25,99812
-1,0,0.5,26,101945
-1,0,0.5,27,107093
-1,0,0.5,28,100413
-1,0,0.5,29,98120
-1,0,0.5,3,339499
-1,0,0.5,30,104962
-1,0,0.5,31,111893
-1,0,0.5,32,105078
-1,0,0.5,33,103058
-1,0,0.5,34,106105
-1,0,0.5,35,336441
-1,0,0.5,36,402644
-1,0,0.5,37,372413
-1,0,0.5,38,366187
-1,0,0.5,4,347368
-1,0,0.5,5,294375
-1,0,0.5,6,214031
-1,0,0.5,68,327586
-1,0,0.5,69,344183
-1,0,0.5,7,114906
-1,0,0.5,70,372461
-1,0,0.5,71,360560
-1,0,0.5,72,306465
-1,0,0.5,8,104248
-1,0,0.5,9,105697
-1,0.5,0,1,330982
-1,0.5,0,1,420949
-1,0.5,0,1,366843
-1,0.5,0,2,328364
-1,0.5,0,2,340373
-1,0.5,0,2,405814
-1,0.5,0,2,377179
-1,0.5,0,2,350130
-1,0.5,0,3,223418
-1,0.5,0,3,425486
-1,0.5,0,3,355781
-1,0.5,0,3,342594
-1,0.5,0,3,336619
-1,0.5,0,34,600978
-1,0.5,0,4,424437
-1,0.5,0,4,176529
-1,0.5,0,4,718954
-1,0.5,0,68,755847
-1,0.5,0.5,1,355743
-1,0.5,0.5,1,345328
-1,0.5,0.5,1,309560
-1,0.5,0.5,1,638813
-1,0.5,0.5,2,337341
-1,0.5,0.5,2,1485339
-1,0.5,0.5,2,318207
